org,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GENETIC LITERACY PROJECT,,,,,,,,,0.0,0.014722536806342015,0.006583506583506584,0.010783200908059024,0.0155203895313451,0.008541973490427098,0.011117612638970159,0.02244536326048435,0.03392374662263584,0.033444816053511704
GEORGIA PUBLIC POLICY FOUNDATION,,,,,,0.0,,0.0,0.02564102564102564,0.02262443438914027,0.03205128205128205,0.0546875,0.056338028169014086,0.0,0.046875,0.0,0.05263157894736842,0.018018018018018018
GOVERNMENT ACCOUNTABILITY AND OVERSIGHT,,,,,,,,,,,,,,,,0.5384615384615384,0.29850746268656714,0.3673469387755102
HEARTLAND INSTITUTE,0.027061855670103094,0.022388059701492536,0.02904162633107454,0.026515151515151516,0.03421727972626176,0.055378061767838126,0.07156673114119923,0.05143721633888049,0.12556869881710647,0.17811355311355312,0.23238095238095238,0.2684466019417476,0.24944419742107604,0.1999245567710298,0.223094688221709,0.2672160094173043,0.2797074954296161,0.2988394584139265
HERITAGE FOUNDATION,0.030837004405286344,0.017287234042553192,0.02461139896373057,0.03418803418803419,0.06155950752393981,0.10491803278688525,0.06743002544529263,0.049689440993788817,0.044538706256627786,0.07473684210526316,0.07672955974842767,0.07142857142857142,0.09116022099447514,0.045940170940170943,0.06039643474790475,0.03358710255261979,0.03487229862475442,0.023341257834449968
HOOVER INSTITUTION,0.005208333333333333,0.011494252873563218,0.004149377593360996,0.01485148514851485,0.026041666666666668,0.01762114537444934,0.011811023622047244,0.011904761904761904,0.022277227722772276,0.016842105263157894,0.020114942528735632,0.02972972972972973,0.01762114537444934,0.0175054704595186,0.018907563025210083,0.008421052631578947,0.02368421052631579,0.017107309486780714
HUDSON INSTITUTE,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0053475935828877,0.020202020202020204,0.02631578947368421,0.0,0.05,0.03508771929824561,0.0,0.0,0.038461538461538464,0.0,0.046052631578947366
INDEPENDENCE INSTITUTE,,,,,,0.03225806451612903,0.0,0.0,0.0,,0.07246376811594203,0.023529411764705882,0.05844155844155844,,,,,
INDEPENDENT INSTITUTE,0.02702702702702703,0.0189873417721519,0.026041666666666668,0.029661016949152543,0.051643192488262914,0.06642066420664207,0.031746031746031744,0.07086614173228346,0.08214285714285714,0.07526881720430108,0.0812720848056537,0.07368421052631578,0.0958904109589041,0.04452054794520548,0.06607929515418502,0.04950495049504951,0.08536585365853659,0.0234375
INDEPENDENT WOMEN'S FORUM,,,0.0,0.0,0.0,0.0,0.08088235294117647,0.042105263157894736,0.029850746268656716,0.021739130434782608,0.01904761904761905,0.10638297872340426,0.2638888888888889,0.10175438596491228,0.06691449814126393,0.04580152671755725,0.017341040462427744,0.0453857791225416
INDIANA POLICY REVIEW FOUNDATION,,,0.0,0.0,0.03773584905660377,0.018867924528301886,0.0,0.01694915254237288,0.010638297872340425,0.0,0.02702702702702703,0.0070921985815602835,0.018518518518518517,0.0,0.024,0.01935483870967742,0.0125,0.0051813471502590676
INSTITUTE FOR ENERGY RESEARCH,,,,1.0,0.0,0.9512195121951219,0.9294871794871795,0.9025641025641026,0.875,0.9094827586206896,0.8755364806866953,0.9177215189873418,0.884393063583815,0.8823529411764706,0.865979381443299,0.8345864661654135,0.9,0.9154929577464789
INSTITUTE FOR POLICY INNOVATION,0.0,0.01818181818181818,0.025157232704402517,0.06451612903225806,0.0,0.06521739130434782,0.043478260869565216,0.0,0.0,0.060810810810810814,0.07360406091370558,0.13768115942028986,0.1274787535410765,0.08333333333333333,0.1054421768707483,0.12280701754385964,0.0967741935483871,0.10179640718562874
JAMES G. MARTIN CENTER FOR ACADEMIC RENEWAL,0.0,0.0,0.0,0.00980392156862745,0.013986013986013986,0.012658227848101266,0.006211180124223602,0.0,0.0,0.006711409395973154,0.006211180124223602,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0
JAMES MADISON INSTITUTE,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3076923076923077,0.05521472392638037,0.0196078431372549,0.0,0.0,0.02702702702702703,0.06267806267806268,0.05365853658536585,0.0,0.037037037037037035,0.0425531914893617,0.0
JOHN LOCKE FOUNDATION,0.041666666666666664,0.022727272727272728,0.04059040590405904,0.057034220532319393,0.06467661691542288,0.08235294117647059,0.02247191011235955,0.05128205128205128,0.11062906724511931,0.11827956989247312,0.11564625850340136,0.06666666666666667,0.12151898734177215,0.0223463687150838,0.041666666666666664,0.037162162162162164,0.04743083003952569,0.03674540682414698
JOSIAH BARTLETT CENTER FOR PUBLIC POLICY,,0.0,0.2,0.0,0.0,0.0,0.5,0.25,0.043478260869565216,0.023529411764705882,0.009708737864077669,0.030303030303030304,0.037037037037037035,0.3333333333333333,0.07692307692307693,0.20512820512820512,0.15789473684210525,0.05063291139240506
JUDICIAL WATCH,,,,,,0.0044444444444444444,0.00546448087431694,0.014925373134328358,0.036016949152542374,0.03341288782816229,0.02927927927927928,0.016574585635359115,0.013440860215053764,0.013440860215053764,0.014423076923076924,0.006172839506172839,0.0027397260273972603,0.0
JUST FACTS FOUNDATION,,,,,,0.0,0.0,,0.07692307692307693,0.12121212121212122,0.11764705882352941,0.25,0.0,0.047619047619047616,0.14285714285714285,0.14814814814814814,0.058823529411764705,0.041666666666666664
LEXINGTON INSTITUTE,0.0,0.0,0.0,0.0,0.0078125,0.0,0.05707196029776675,0.024844720496894408,0.019693654266958426,0.023255813953488372,0.017429193899782137,0.029891304347826088,0.023333333333333334,0.0231023102310231,0.06967213114754098,0.03125,0.04739336492890995,0.08372093023255814
LIBERTARIAN INSTITUTE THE,,,,,,,,,0.0,,0.0,0.0,0.010101010101010102,0.0,0.01098901098901099,0.0,0.0,0.0
LIBERTY FUND,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.005274261603375527
LINCOLN INSTITUTION OF PUBLIC OPINION RESEARCH,0.0,0.022727272727272728,0.0,0.0,0.0,0.02666666666666667,0.0,0.05172413793103448,0.01,0.01904761904761905,0.0,0.03614457831325301,0.02666666666666667,0.015151515151515152,0.02702702702702703,0.008849557522123894,0.08571428571428572,0.0125
MACIVER INSTITUTE FOR PUBLIC POLICY,,,,,,,0.07894736842105263,0.07668711656441718,0.010025062656641603,0.031818181818181815,0.010802469135802469,0.03111111111111111,0.0475,0.04152249134948097,0.017857142857142856,0.005263157894736842,0.03333333333333333,0.021505376344086023
MACKINAC CENTER FOR PUBLIC POLICY,0.005208333333333333,0.013422818791946308,0.012987012987012988,0.03783783783783784,0.020338983050847456,0.03787878787878788,0.027243589743589744,0.03662420382165605,0.03861003861003861,0.028112449799196786,0.007633587786259542,0.014164305949008499,0.008849557522123894,0.01634877384196185,0.02631578947368421,0.010238907849829351,0.028391167192429023,0.0650887573964497
MANHATTAN INSTITUTE FOR POLICY RESEARCH,0.02185792349726776,0.011428571428571429,0.0446927374301676,0.0625,0.057534246575342465,0.053268765133171914,0.1203125,0.09105960264900662,0.10452961672473868,0.1314878892733564,0.08623087621696801,0.10015898251192369,0.1092896174863388,0.07502799552071669,0.08247422680412371,0.06741573033707865,0.08831521739130435,0.033783783783783786
MEDIA RESEARCH CENTER,0.004132231404958678,0.010380622837370242,0.00398406374501992,0.01858736059479554,0.0211864406779661,0.020905923344947737,0.01858736059479554,0.034482758620689655,0.029940119760479042,0.014652014652014652,0.02,0.0196078431372549,0.05,0.0,0.0,,,0.0
MERCATUS CENTER GEORGE MASON UNIVERSITY,0.0,0.018867924528301886,0.0,0.01818181818181818,0.0,0.0,0.026845637583892617,0.0,0.005917159763313609,0.005154639175257732,0.03482587064676617,0.011049723756906077,0.009009009009009009,0.0,0.004672897196261682,0.005802707930367505,0.0018214936247723133,0.0
NATIONAL ASSOCIATION OF SCHOLARS,,,,,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.05555555555555555,0.0,0.0,0.09090909090909091,0.0,0.02097902097902098,0.021739130434782608,0.0
NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,0.11363636363636363,0.09357798165137615,0.1437371663244353,0.20616113744075829,0.21836228287841192,0.2706422018348624,0.22319859402460457,0.23178807947019867,0.22093023255813954,0.08646616541353383,0.06451612903225806,0.050933786078098474,0.03225806451612903,0.0425531914893617,0.04519774011299435,0.04744525547445255,0.06382978723404255,0.052109181141439205
NATIONAL LEGAL & POLICY CENTER,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.016556291390728478,0.043243243243243246,0.15119363395225463,0.12716763005780346,0.1552346570397112,0.0782608695652174,0.05128205128205128,0.011428571428571429,0.016483516483516484,0.005291005291005291,0.015228426395939087,0.021052631578947368
NATIONAL REVIEW INSTITUTE,,,,,,,,0.012087912087912088,0.0341039139391165,0.030156815440289506,0.025170998632010944,0.029808374733853796,0.023091838533403842,0.015586546349466776,0.01601464195836193,0.008443908323281062,0.020005264543300868,0.01858736059479554
NEVADA POLICY RESEARCH INSTITUTE,,,,,,0.06722689075630252,0.06038647342995169,0.0196078431372549,0.014150943396226415,0.04878048780487805,0.034482758620689655,0.011235955056179775,0.025,0.06140350877192982,0.06060606060606061,0.0,0.034482758620689655,0.0
OKLAHOMA COUNCIL OF PUBLIC AFFAIRS,,0.0,0.0,,0.0,0.0,0.019801980198019802,0.0,0.004878048780487805,0.06134969325153374,0.007633587786259542,0.03076923076923077,0.012578616352201259,0.025380710659898477,0.018867924528301886,0.03597122302158273,0.007434944237918215,0.004901960784313725
PACIFIC RESEARCH INSTITUTE FOR PUBLIC POLICY,,,,,,0.0958904109589041,0.0811623246492986,0.07295373665480427,0.05448717948717949,0.024793388429752067,0.05263157894736842,0.02727272727272727,0.02158273381294964,0.07650273224043716,0.038929440389294405,0.050816696914700546,0.04662379421221865,0.04390243902439024
PLANTS NEED CO2,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
POWER THE FUTURE,,,,,,,,,,,,,,,,0.6815286624203821,0.7862232779097387,0.7538461538461538
PRAGERU (PRAGER UNIVERSITY),,,,,,,,0.0,,0.0,0.3333333333333333,0.0,0.1111111111111111,0.08928571428571429,0.010309278350515464,0.03076923076923077,0.017543859649122806,0.0967741935483871
PROPERTY AND ENVIRONMENT RESEARCH CENTER,0.10416666666666667,0.06896551724137931,0.15151515151515152,0.10204081632653061,0.23404255319148937,0.18055555555555555,0.14925373134328357,0.18620689655172415,0.22887323943661972,0.09248554913294797,0.1111111111111111,0.13636363636363635,0.09375,0.08527131782945736,0.05737704918032787,0.05063291139240506,0.03424657534246575,0.047619047619047616
R STREET INSTITUTE,,,,,,,,,,,,,,,0.07081967213114754,0.061885482938114515,0.05975049244911359,0.0567550894509562
REASON FOUNDATION THE,0.054838709677419356,0.025454545454545455,0.06006006006006006,0.03598691384950927,0.04081632653061224,0.06924643584521385,0.017977528089887642,0.01317027281279398,0.0273972602739726,0.04734848484848485,0.020887728459530026,0.016574585635359115,0.034722222222222224,0.00911854103343465,0.006600660066006601,0.01366742596810934,0.004123711340206186,0.006309148264984227
RHODE ISLAND CENTER FOR FREEDOM AND PROSPERITY,,,,,,,,,0.0625,0.012195121951219513,0.01694915254237288,0.02564102564102564,0.0,0.046296296296296294,0.015384615384615385,0.0,0.05660377358490566,0.075
RIO GRANDE FOUNDATION,0.0,0.1111111111111111,0.0,0.09375,0.07142857142857142,0.06666666666666667,0.029411764705882353,0.03225806451612903,0.07692307692307693,0.08333333333333333,0.06451612903225806,0.10638297872340426,0.1111111111111111,0.10465116279069768,0.0,0.10606060606060606,0.17857142857142858,0.15
ROUGHRIDER POLICY CENTER,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333
SCIENCE AND ENVIRONMENTAL POLICY PROJECT,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,
SHOW-ME INSTITUTE,,,0.0,0.0,0.016835016835016835,0.054411764705882354,0.01703800786369594,0.018922852983988356,0.02023121387283237,0.0027100271002710027,0.007731958762886598,0.0,0.0035778175313059034,0.0025974025974025974,0.0,0.0,0.007462686567164179,0.0625
SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,,,,,0.0,0.15057915057915058,0.0625,0.028688524590163935,0.1134185303514377,0.11133200795228629,0.09565217391304348,0.1309255079006772,0.06641366223908918,0.049523809523809526,0.02159827213822894,0.010126582278481013,0.009828009828009828,0.005115089514066497
SOUTH CAROLINA POLICY COUNCIL,,,0.0,0.0,0.0,0.16666666666666666,0.08695652173913043,0.0,0.03125,0.0,0.009259259259259259,0.0,0.012048192771084338,0.0,0.06363636363636363,0.057692307692307696,0.015625,0.09090909090909091
SOUTHEASTERN LEGAL FOUNDATION,,,,,,0.0,0.125,0.1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
STATE POLICY NETWORK,,,,,,,,,,,,0.0,0.0,0.020833333333333332,0.0,0.022172949002217297,0.026359143327841845,0.005434782608695652
STUDENT FREE PRESS ASSOCIATION,,,,,,,,0.007532956685499058,0.0013386880856760374,0.011918951132300357,0.009579955784819455,0.012117714945181766,0.009538950715421303,0.007131102578167855,0.003786086133459536,0.00535801266439357,0.007466401194624191,0.0025549310168625446
TAXPAYERS PROTECTION ALLIANCE,,,,,,,,,0.026785714285714284,0.0847457627118644,0.05025125628140704,0.07511737089201878,0.13488372093023257,0.07142857142857142,0.09045226130653267,0.08080808080808081,0.06321839080459771,0.016666666666666666
TEXAS PUBLIC POLICY FOUNDATION,0.0,0.030303030303030304,0.019230769230769232,0.06382978723404255,0.05263157894736842,0.15217391304347827,0.08045977011494253,0.08333333333333333,0.13063063063063063,0.08865248226950355,0.10139860139860139,0.11662531017369727,0.1079136690647482,0.16356877323420074,0.04777070063694268,0.14617169373549885,0.18021978021978022,0.06297709923664122
THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY,0.0,0.0,0.0,0.0,0.14285714285714285,0.35294117647058826,0.0625,0.0,0.12,0.0,0.03225806451612903,0.41379310344827586,0.14285714285714285,0.0,0.0,0.07142857142857142,0.2,0.0
TRUTH IN ACCOUNTING,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURNING POINT USA,,,,,,,,,,,,,,,,,,0.002890173410404624
WASHINGTON LEGAL FOUNDATION,,,,,,,0.0,0.017241379310344827,0.055248618784530384,0.053691275167785234,0.024242424242424242,0.017241379310344827,0.013245033112582781,0.03389830508474576,0.009389671361502348,0.016736401673640166,0.00851063829787234,0.0
WASHINGTON POLICY CENTER,0.0,,,0.0,,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.06451612903225806,0.0,0.043478260869565216
WYOMING LIBERTY GROUP,,,,,,,,,,,,0.06428571428571428,0.05063291139240506,0.043478260869565216,0.0,0.0,0.03296703296703297,0.037037037037037035
YANKEE INSTITUTE FOR PUBLIC POLICY,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.010752688172043012,0.0,0.005319148936170213,0.01818181818181818,0.03717472118959108
YOUNG AMERICA'S FOUNDATION,,,,,,,,0.0,,0.0,0.0,0.0,0.02531645569620253,0.005780346820809248,0.00392156862745098,0.0,0.006944444444444444,0.004081632653061225
YOUNG AMERICANS FOR LIBERTY,,,,,,0.022058823529411766,0.014970059880239521,0.007306889352818371,0.006493506493506494,0.0,0.0029154518950437317,0.002008032128514056,0.0,0.0,0.0030165912518853697,0.0,,
