,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,label,grouplabel,remove,climate_science,climate_energy_policy,topic
1,china,countri,unit,world,state,europ,european,power,india,war,geopolitics,,FALSE,,,1
2,march,april,releas,juli,june,januari,septemb,letter,novemb,decemb,months,,TRUE,,,2
3,tax,carbon,credit,revenu,propos,rais,incom,increas,fee,rate,carbon_tax,,FALSE,,1,3
4,energi,associ,inc,ohio,servic,compani,washington,north,american,state,energy_firm,,FALSE,,1,4
5,carbon,dioxid,atmospher,concentr,plant,increas,air,effect,water,earth,co2_concentration,,FALSE,1,,5
6,fuel,vehicl,car,transport,standard,gasolin,engin,use,truck,diesel,car_fuel,,FALSE,,1,6
7,institut,polici,center,research,foundat,public,nation,environment,director,senior,research_institute,,TRUE,,,7
8,temperatur,model,warm,climat,data,increas,trend,global,period,observ,warming,,FALSE,1,,8
9,will,need,develop,energi,econom,futur,technolog,world,continu,growth,energy_development,,FALSE,,1,9
10,per,percent,year,total,million,billion,averag,ton,figur,annual,numbers,,TRUE,,,10
11,program,sustain,communiti,work,organ,goal,includ,develop,promot,initi,community_support,,TRUE,,,11
12,year,warm,global,rise,ice,level,sea,weather,hurrican,predict,sea_rise,,FALSE,1,,12
13,share,inform,can,communic,servic,internet,onlin,comput,video,game,information,,TRUE,,,13
14,energi,effici,use,heat,program,home,save,build,consumpt,consum,energy_efficiency,,FALSE,,1,14
15,univers,school,professor,student,scienc,research,colleg,book,educ,climat,university,,FALSE,,,15
16,emiss,reduc,carbon,greenhous,reduct,percent,dioxid,level,ghg,global,emissions_reduce,,FALSE,,1,16
17,compani,invest,financi,busi,corpor,util,capit,firm,industri,custom,corporate_investment,,FALSE,,,17
18,water,use,light,wast,ban,product,environment,plastic,materi,can,water_use,,FALSE,,,18
19,per,subindex,labor,index,capita,rate,rank,wage,worker,inhabit,labor,,FALSE,,,19
20,emiss,data,methan,inform,well,use,oper,sourc,studi,ghg,methane,,FALSE,1,,20
21,new,project,citi,york,area,line,counti,plan,local,san,local_project,,FALSE,,,21
22,price,cost,increas,energi,consum,sector,higher,manufactur,industri,will,energy_cost,,FALSE,,1,22
23,presid,obama,administr,trump,hous,congress,white,plan,power,bush,president,,FALSE,,,23
24,farm,agricultur,ethanol,farmer,food,product,produc,biofuel,use,fuel,ag_ethanol,,FALSE,,1,24
25,coal,plant,mine,power,electr,generat,coal-fir,nation,nma,new,coal,,FALSE,,1,25
26,climat,chang,nation,agreement,unit,intern,global,action,kyoto,pari,climate_agreements,,FALSE,,1,26
27,energi,wind,renew,fuel,power,solar,electr,fossil,sourc,generat,renewable_energy,,FALSE,,1,27
28,gas,natur,industri,lng,export,suppli,aga,pipelin,associ,state,natural_gas,,FALSE,,1,28
29,epa,rule,propos,standard,requir,plan,state,exist,sourc,new,epa_proposal,,FALSE,,1,29
30,govern,polici,market,can,free,interest,polit,make,allow,approach,free_market,,FALSE,,,30
31,chang,climat,speci,adapt,crop,popul,food,forest,increas,plant,climate_adapt,,FALSE,,1,31
32,regul,epa,environment,air,clean,agenc,pollut,protect,act,regulatori,epa_regs,,FALSE,,1,32
33,committe,member,energi,meet,chairman,confer,will,ipaa,presid,hear,committee_hearing,,FALSE,,,33
34,bill,legisl,senat,pass,cap,trade,congress,hous,vote,cap--trad,legislation,,FALSE,,,34
35,cost,benefit,impact,econom,studi,effect,model,analysi,estim,use,cost_benefit,,FALSE,,,35
36,one,think,like,just,get,know,say,thing,want,dont,speech_thought,,TRUE,,,36
37,process,hydrogen,carbon,product,use,cell,dioxid,produc,materi,method,hydrogen_cell,,FALSE,,1,37
38,state,california,law,court,case,constitut,governor,power,feder,legal,california,,FALSE,,,38
39,media,news,gore,stori,post,time,warm,global,show,new,media_climate,,FALSE,1,,39
40,technolog,captur,storag,plant,project,advanc,research,ccs,generat,power,ccs,,FALSE,0,1,40
41,oil,energi,product,produc,domest,suppli,drill,america,petroleum,shale,oil_production,,FALSE,,1,41
42,group,climat,general,activist,public,email,attorney,investig,record,fund,climate_activists,,FALSE,1,,42
43,nuclear,pipelin,power,canada,plant,construct,keyston,canadian,reactor,build,nuclear_pipelines_construction,,FALSE,,1,43
44,job,green,billion,will,million,year,new,govern,money,spend,green_jobs,,FALSE,,1,44
45,feder,depart,energi,program,land,fund,agenc,nation,act,develop,federal_agencies,,FALSE,,,45
46,electr,power,generat,util,grid,system,reliabl,demand,transmiss,market,grid_reliability,,FALSE,,1,46
47,climat,warm,global,chang,scienc,scientist,scientif,claim,human,evid,climate_science,,FALSE,1,,47
48,democrat,american,issu,support,republican,elect,conserv,parti,voter,polit,partisan_politics,,FALSE,,,48
49,peopl,live,health,human,care,life,poor,world,poverti,caus,human_health,,FALSE,,,49
50,report,number,note,question,offer,begin,detail,answer,present,regard,reports,,TRUE,,,50